Name: Motor cortex [Glu0], Title: Raster plot from device '10147', Hist: False
518.1 :    1 : [6455]
518.3 :    2 : [6343, 6515]
518.9 :    1 : [6094]
519.0 :    1 : [5832]
519.1 :    2 : [5988, 6504]
519.2 :    1 : [6546]
519.4 :    1 : [5736]
519.5 :    1 : [5880]
519.6 :    1 : [5858]
519.7 :    1 : [5774]
520.0 :    2 : [5884, 6119]
520.4 :    1 : [6343]
520.6 :    1 : [6004]
521.2 :    1 : [6504]
521.3 :    1 : [6546]
521.5 :    2 : [5736, 6455]
521.6 :    1 : [6390]
521.7 :    1 : [5858]
521.8 :    2 : [5774, 6538]
521.9 :    1 : [6094]
522.1 :    1 : [5880]
522.2 :    2 : [6119, 6515]
522.6 :    1 : [5988]
522.7 :    2 : [5832, 6343]
523.0 :    1 : [5884]
523.4 :    2 : [6504, 6546]
523.6 :    1 : [6455]
523.7 :    1 : [6390]
524.0 :    2 : [5736, 6004]
524.1 :    1 : [6538]
524.3 :    3 : [5880, 6119, 6515]
524.7 :    1 : [5988]
524.9 :    2 : [5774, 5858]
525.2 :    1 : [6094]
526.1 :    2 : [5736, 6390]
526.2 :    2 : [6004, 6504]
526.4 :    2 : [5832, 6119]
527.0 :    1 : [5884]
527.1 :    1 : [5774]
527.5 :    1 : [6546]
527.6 :    1 : [6094]
527.8 :    1 : [6455]
