Name: SNr [GABA], Title: Raster plot from device '1513', Hist: False
297.0 :    1 : [431]
297.1 :    1 : [439]
299.1 :    1 : [431]
299.2 :    1 : [439]
301.2 :    1 : [431]
301.3 :    1 : [439]
303.3 :    1 : [431]
303.4 :    1 : [439]
306.0 :    1 : [431]
308.3 :    1 : [431]
316.0 :    1 : [431]
318.1 :    1 : [431]
320.2 :    1 : [431]
434.0 :    1 : [438]
434.7 :    1 : [435]
436.0 :    1 : [432]
436.1 :    1 : [438]
436.8 :    1 : [435]
438.1 :    1 : [432]
438.2 :    1 : [438]
438.4 :    1 : [433]
438.9 :    1 : [435]
440.2 :    1 : [432]
440.3 :    1 : [438]
440.5 :    1 : [433]
441.0 :    1 : [435]
442.3 :    1 : [432]
442.4 :    1 : [438]
442.6 :    1 : [433]
443.1 :    1 : [435]
444.4 :    1 : [432]
444.5 :    1 : [438]
444.7 :    1 : [433]
445.2 :    1 : [435]
446.5 :    1 : [432]
446.6 :    1 : [438]
446.8 :    1 : [433]
447.3 :    1 : [435]
448.6 :    1 : [432]
448.7 :    1 : [438]
448.9 :    1 : [433]
449.4 :    1 : [435]
450.7 :    1 : [432]
450.8 :    1 : [438]
451.0 :    1 : [433]
451.5 :    1 : [435]
452.8 :    1 : [432]
452.9 :    1 : [438]
453.1 :    1 : [433]
453.6 :    1 : [435]
454.9 :    1 : [432]
455.0 :    1 : [438]
455.2 :    1 : [433]
455.7 :    1 : [435]
457.0 :    1 : [432]
457.1 :    1 : [438]
457.3 :    1 : [433]
457.8 :    1 : [435]
459.1 :    1 : [432]
459.2 :    1 : [438]
459.4 :    1 : [433]
459.9 :    1 : [435]
461.2 :    1 : [432]
461.3 :    1 : [438]
461.5 :    1 : [433]
462.0 :    1 : [435]
463.3 :    1 : [432]
463.4 :    1 : [438]
463.6 :    1 : [433]
464.1 :    1 : [435]
465.4 :    1 : [432]
465.5 :    1 : [438]
465.7 :    1 : [433]
466.2 :    1 : [435]
467.5 :    1 : [432]
467.6 :    1 : [438]
467.8 :    1 : [433]
468.3 :    1 : [435]
469.6 :    1 : [432]
469.9 :    1 : [433]
470.4 :    1 : [435]
471.7 :    1 : [432]
472.0 :    1 : [433]
474.1 :    1 : [433]
475.9 :    1 : [435]
478.0 :    1 : [435]
479.8 :    1 : [432]
480.1 :    1 : [435]
481.9 :    1 : [432]
482.2 :    1 : [435]
482.6 :    1 : [433]
484.0 :    1 : [432]
484.7 :    1 : [433]
486.1 :    1 : [432]
488.7 :    1 : [435]
490.8 :    1 : [435]
492.9 :    1 : [435]
494.5 :    1 : [432]
495.1 :    1 : [435]
496.6 :    1 : [432]
496.8 :    1 : [433]
498.7 :    1 : [432]
498.9 :    1 : [433]
500.8 :    1 : [432]
501.0 :    1 : [433]
501.2 :    1 : [435]
503.1 :    1 : [433]
503.3 :    1 : [435]
505.2 :    1 : [433]
505.4 :    1 : [435]
507.3 :    1 : [433]
507.6 :    1 : [435]
509.2 :    1 : [432]
511.3 :    1 : [432]
513.4 :    1 : [432]
513.9 :    1 : [435]
515.5 :    1 : [432]
516.0 :    1 : [435]
518.1 :    1 : [435]
518.5 :    1 : [433]
520.3 :    1 : [435]
520.6 :    1 : [433]
523.9 :    1 : [432]
526.0 :    1 : [432]
526.4 :    1 : [435]
528.1 :    1 : [432]
528.5 :    1 : [435]
530.2 :    1 : [432]
530.6 :    1 : [435]
532.8 :    1 : [435]
534.6 :    1 : [433]
536.7 :    1 : [433]
