Name: Thalamus [Glu], Title: Raster plot from device '20337', Hist: False
199.6 :    1 : [1317]
199.9 :    1 : [1353]
200.2 :    1 : [1410]
200.3 :    3 : [1329, 1341, 1365]
200.4 :    1 : [1368]
200.6 :    1 : [1337]
200.7 :    1 : [1405]
200.9 :    1 : [1381]
201.2 :    1 : [1386]
201.4 :    2 : [1335, 1387]
201.9 :    1 : [1389]
202.2 :    1 : [1362]
203.5 :    1 : [1341]
203.6 :    1 : [1337]
203.8 :    1 : [1317]
204.1 :    2 : [1315, 1410]
204.2 :    1 : [1330]
205.6 :    1 : [1336]
206.0 :    2 : [1356, 1370]
206.3 :    1 : [1312]
206.7 :    1 : [1382]
206.9 :    1 : [1315]
207.0 :    1 : [1342]
207.4 :    1 : [1313]
207.6 :    1 : [1361]
208.1 :    1 : [1385]
208.5 :    1 : [1388]
208.6 :    2 : [1336, 1344]
208.8 :    2 : [1356, 1370]
209.3 :    1 : [1392]
209.4 :    1 : [1372]
209.7 :    2 : [1357, 1398]
209.8 :    2 : [1408, 1409]
209.9 :    1 : [1342]
210.1 :    2 : [1374, 1401]
210.2 :    3 : [1313, 1364, 1378]
210.4 :    2 : [1354, 1367]
210.5 :    4 : [1328, 1361, 1379, 1395]
210.9 :    1 : [1385]
211.1 :    1 : [1323]
211.2 :    1 : [1388]
211.5 :    1 : [1344]
211.7 :    2 : [1333, 1346]
212.0 :    1 : [1339]
212.1 :    1 : [1372]
212.6 :    1 : [1396]
212.9 :    2 : [1352, 1401]
213.0 :    1 : [1374]
213.2 :    1 : [1354]
213.3 :    5 : [1318, 1328, 1367, 1379, 1395]
213.9 :    1 : [1323]
214.5 :    1 : [1348]
214.6 :    1 : [1349]
214.9 :    2 : [1339, 1376]
215.4 :    1 : [1391]
215.6 :    1 : [1396]
215.9 :    1 : [1352]
216.0 :    1 : [1355]
217.3 :    1 : [1348]
217.4 :    1 : [1349]
217.7 :    2 : [1376, 1399]
217.9 :    1 : [1338]
218.2 :    1 : [1391]
218.3 :    1 : [1366]
218.6 :    1 : [1375]
218.9 :    2 : [1355, 1383]
219.7 :    1 : [1406]
220.2 :    1 : [1324]
221.0 :    1 : [1338]
221.8 :    1 : [1383]
222.0 :    1 : [1375]
225.0 :    1 : [1373]
225.6 :    1 : [1402]
226.2 :    1 : [1347]
226.9 :    1 : [1340]
227.0 :    1 : [1334]
227.1 :    1 : [1332]
227.5 :    1 : [1393]
227.8 :    1 : [1373]
228.1 :    1 : [1397]
228.3 :    1 : [1402]
228.6 :    1 : [1319]
228.8 :    2 : [1320, 1377]
229.0 :    1 : [1316]
229.2 :    1 : [1350]
229.4 :    2 : [1371, 1400]
229.5 :    2 : [1331, 1347]
229.6 :    1 : [1345]
229.7 :    1 : [1340]
229.8 :    1 : [1334]
229.9 :    3 : [1332, 1360, 1407]
230.1 :    1 : [1380]
230.2 :    1 : [1393]
230.3 :    2 : [1325, 1359]
230.6 :    2 : [1321, 1369]
230.9 :    2 : [1322, 1397]
231.2 :    1 : [1326]
231.3 :    1 : [1343]
231.4 :    1 : [1319]
231.7 :    1 : [1390]
231.8 :    1 : [1316]
231.9 :    1 : [1404]
232.1 :    1 : [1371]
232.2 :    2 : [1400, 1411]
232.3 :    1 : [1331]
232.4 :    1 : [1345]
232.7 :    1 : [1360]
232.9 :    2 : [1380, 1407]
233.4 :    1 : [1369]
233.5 :    1 : [1321]
233.7 :    2 : [1322, 1384]
233.8 :    1 : [1362]
234.7 :    1 : [1404]
235.8 :    1 : [1394]
236.2 :    1 : [1363]
236.8 :    1 : [1330]
237.7 :    1 : [1327]
237.9 :    1 : [1312]
239.0 :    1 : [1358]
239.1 :    1 : [1351]
239.6 :    1 : [1382]
240.5 :    1 : [1408]
240.6 :    2 : [1330, 1398]
240.8 :    1 : [1312]
241.1 :    1 : [1409]
241.2 :    2 : [1378, 1392]
241.4 :    1 : [1357]
241.5 :    1 : [1364]
241.7 :    1 : [1403]
241.8 :    1 : [1314]
241.9 :    1 : [1358]
242.0 :    2 : [1346, 1351]
242.4 :    1 : [1382]
242.6 :    1 : [1333]
242.7 :    1 : [1365]
243.1 :    1 : [1405]
243.3 :    2 : [1386, 1408]
243.4 :    1 : [1398]
243.9 :    2 : [1335, 1381]
244.0 :    1 : [1409]
244.2 :    1 : [1357]
244.4 :    1 : [1364]
244.9 :    1 : [1346]
245.4 :    1 : [1333]
245.6 :    1 : [1368]
245.8 :    2 : [1341, 1389]
245.9 :    1 : [1405]
246.0 :    1 : [1387]
246.3 :    1 : [1337]
246.4 :    1 : [1329]
246.6 :    1 : [1318]
246.7 :    3 : [1335, 1381, 1410]
248.0 :    1 : [1353]
248.3 :    1 : [1368]
248.8 :    1 : [1387]
249.2 :    2 : [1329, 1399]
249.4 :    1 : [1318]
249.7 :    1 : [1366]
250.3 :    2 : [1315, 1406]
250.8 :    1 : [1353]
252.2 :    1 : [1324]
253.9 :    1 : [1406]
255.6 :    1 : [1356]
257.9 :    2 : [1336, 1361]
258.1 :    1 : [1385]
258.2 :    1 : [1342]
258.3 :    2 : [1328, 1372]
258.4 :    1 : [1313]
258.5 :    1 : [1317]
258.8 :    1 : [1354]
258.9 :    2 : [1370, 1401]
259.2 :    1 : [1374]
259.3 :    2 : [1339, 1367]
259.4 :    3 : [1323, 1344, 1395]
259.6 :    1 : [1379]
259.7 :    1 : [1356]
259.8 :    2 : [1349, 1352]
260.4 :    1 : [1350]
260.7 :    1 : [1336]
260.8 :    2 : [1361, 1377]
260.9 :    2 : [1342, 1376]
261.1 :    3 : [1313, 1320, 1372]
261.2 :    1 : [1328]
261.3 :    1 : [1317]
261.6 :    1 : [1411]
261.7 :    3 : [1326, 1370, 1401]
261.8 :    1 : [1354]
262.0 :    1 : [1390]
262.1 :    3 : [1339, 1367, 1374]
262.2 :    1 : [1344]
262.3 :    1 : [1323]
262.4 :    1 : [1395]
262.5 :    1 : [1396]
262.6 :    1 : [1352]
262.7 :    2 : [1343, 1349]
263.0 :    1 : [1359]
263.1 :    1 : [1325]
263.2 :    1 : [1350]
263.3 :    1 : [1348]
263.5 :    1 : [1377]
263.6 :    1 : [1376]
263.7 :    1 : [1384]
264.4 :    1 : [1391]
264.5 :    1 : [1326]
264.8 :    1 : [1338]
265.0 :    1 : [1390]
265.2 :    1 : [1313]
265.3 :    1 : [1396]
265.5 :    1 : [1394]
265.7 :    2 : [1343, 1362]
265.8 :    1 : [1359]
266.0 :    3 : [1348, 1375, 1383]
266.4 :    1 : [1363]
266.5 :    1 : [1384]
267.4 :    1 : [1391]
267.7 :    1 : [1338]
267.8 :    1 : [1355]
268.3 :    1 : [1394]
268.8 :    2 : [1375, 1383]
268.9 :    1 : [1362]
269.2 :    1 : [1363]
270.6 :    1 : [1355]
271.3 :    1 : [1327]
274.1 :    1 : [1327]
274.2 :    1 : [1373]
275.0 :    1 : [1314]
275.3 :    1 : [1334]
275.5 :    1 : [1392]
275.6 :    1 : [1378]
275.8 :    1 : [1402]
276.0 :    1 : [1316]
276.5 :    2 : [1365, 1393]
276.6 :    2 : [1340, 1403]
276.8 :    1 : [1332]
277.0 :    1 : [1373]
277.1 :    1 : [1322]
277.2 :    1 : [1397]
277.3 :    1 : [1331]
277.4 :    1 : [1386]
277.5 :    1 : [1400]
277.8 :    3 : [1319, 1321, 1347]
277.9 :    1 : [1314]
278.1 :    1 : [1334]
278.2 :    2 : [1341, 1360]
278.4 :    2 : [1378, 1392]
278.5 :    1 : [1402]
278.6 :    1 : [1371]
278.7 :    2 : [1369, 1389]
278.8 :    1 : [1316]
278.9 :    3 : [1388, 1407, 1410]
279.2 :    1 : [1337]
279.3 :    1 : [1365]
279.4 :    2 : [1340, 1403]
279.5 :    2 : [1332, 1380]
279.6 :    1 : [1393]
279.9 :    1 : [1322]
280.0 :    1 : [1397]
280.1 :    1 : [1331]
280.3 :    1 : [1400]
280.5 :    1 : [1319]
280.6 :    1 : [1347]
280.7 :    1 : [1321]
281.1 :    2 : [1341, 1360]
281.2 :    1 : [1366]
281.3 :    2 : [1371, 1404]
281.4 :    1 : [1389]
281.5 :    1 : [1369]
281.6 :    1 : [1399]
281.9 :    1 : [1337]
282.1 :    1 : [1315]
282.3 :    2 : [1345, 1380]
283.2 :    1 : [1330]
283.6 :    1 : [1324]
284.0 :    2 : [1366, 1404]
284.2 :    1 : [1351]
284.5 :    1 : [1399]
284.7 :    1 : [1358]
285.0 :    2 : [1315, 1345]
285.4 :    1 : [1312]
286.0 :    1 : [1330]
286.4 :    1 : [1324]
287.0 :    1 : [1351]
287.1 :    1 : [1382]
287.6 :    2 : [1358, 1398]
287.7 :    1 : [1408]
288.0 :    1 : [1409]
289.9 :    1 : [1382]
290.2 :    1 : [1385]
290.5 :    2 : [1381, 1398]
290.6 :    1 : [1408]
290.7 :    1 : [1357]
291.0 :    2 : [1379, 1409]
291.9 :    1 : [1368]
292.1 :    2 : [1320, 1364]
292.3 :    1 : [1346]
293.1 :    1 : [1385]
293.3 :    1 : [1381]
293.6 :    2 : [1329, 1357]
293.7 :    1 : [1333]
293.8 :    2 : [1379, 1411]
294.4 :    1 : [1325]
294.9 :    2 : [1320, 1364]
295.1 :    1 : [1346]
295.3 :    1 : [1318]
296.1 :    2 : [1387, 1405]
296.4 :    1 : [1333]
296.5 :    1 : [1329]
296.6 :    2 : [1353, 1411]
298.1 :    1 : [1318]
298.5 :    1 : [1335]
298.9 :    2 : [1387, 1405]
299.4 :    1 : [1353]
300.8 :    1 : [1406]
301.3 :    1 : [1335]
301.7 :    1 : [1356]
303.2 :    1 : [1317]
303.5 :    1 : [1406]
303.6 :    1 : [1361]
304.0 :    2 : [1336, 1339]
304.2 :    1 : [1372]
304.3 :    1 : [1374]
304.5 :    2 : [1356, 1401]
304.7 :    1 : [1354]
305.1 :    1 : [1328]
306.1 :    1 : [1344]
306.2 :    1 : [1317]
306.4 :    1 : [1361]
306.7 :    1 : [1336]
306.8 :    1 : [1339]
307.0 :    1 : [1372]
307.1 :    1 : [1374]
307.3 :    1 : [1401]
307.5 :    1 : [1354]
307.7 :    1 : [1349]
308.0 :    2 : [1328, 1388]
309.0 :    1 : [1344]
310.1 :    1 : [1326]
310.2 :    1 : [1396]
310.3 :    1 : [1342]
310.4 :    2 : [1323, 1349]
310.7 :    1 : [1370]
310.8 :    1 : [1388]
311.3 :    1 : [1386]
311.5 :    1 : [1350]
311.6 :    1 : [1407]
311.7 :    1 : [1359]
311.9 :    1 : [1367]
312.0 :    1 : [1352]
312.1 :    1 : [1410]
312.9 :    2 : [1383, 1395]
313.0 :    2 : [1326, 1390]
313.1 :    2 : [1342, 1396]
313.2 :    2 : [1348, 1377]
313.4 :    1 : [1370]
313.5 :    2 : [1338, 1343]
313.8 :    1 : [1391]
313.9 :    1 : [1394]
314.1 :    1 : [1386]
314.3 :    2 : [1313, 1350]
314.4 :    1 : [1407]
314.6 :    1 : [1359]
314.9 :    1 : [1352]
315.1 :    1 : [1410]
315.8 :    1 : [1390]
316.0 :    2 : [1348, 1377]
316.3 :    1 : [1343]
316.4 :    1 : [1338]
316.6 :    1 : [1362]
316.7 :    1 : [1391]
317.2 :    1 : [1313]
317.6 :    1 : [1312]
317.8 :    1 : [1375]
317.9 :    1 : [1363]
318.9 :    1 : [1384]
319.4 :    1 : [1362]
320.4 :    1 : [1312]
320.7 :    1 : [1375]
322.5 :    1 : [1327]
322.6 :    1 : [1355]
322.8 :    1 : [1376]
323.1 :    1 : [1368]
324.4 :    1 : [1316]
324.6 :    1 : [1314]
325.3 :    2 : [1327, 1355]
325.5 :    1 : [1403]
325.7 :    1 : [1376]
325.8 :    2 : [1365, 1392]
325.9 :    4 : [1321, 1368, 1371, 1397]
326.5 :    2 : [1360, 1378]
326.7 :    1 : [1380]
327.1 :    1 : [1389]
327.2 :    1 : [1347]
327.3 :    1 : [1340]
327.7 :    1 : [1334]
327.9 :    1 : [1314]
328.0 :    1 : [1331]
328.3 :    1 : [1403]
328.6 :    2 : [1365, 1392]
328.7 :    2 : [1369, 1393]
328.8 :    1 : [1332]
328.9 :    1 : [1319]
329.0 :    3 : [1325, 1330, 1355]
329.3 :    2 : [1360, 1378]
329.5 :    3 : [1341, 1373, 1380]
329.9 :    1 : [1389]
330.0 :    1 : [1347]
330.1 :    2 : [1324, 1340]
330.5 :    1 : [1334]
330.9 :    2 : [1331, 1345]
331.0 :    2 : [1322, 1366]
331.4 :    2 : [1337, 1393]
331.5 :    2 : [1332, 1369]
331.7 :    1 : [1325]
331.8 :    1 : [1330]
332.0 :    1 : [1402]
332.1 :    1 : [1399]
332.3 :    1 : [1341]
332.4 :    1 : [1373]
332.7 :    2 : [1351, 1400]
332.9 :    1 : [1324]
333.0 :    1 : [1404]
333.8 :    2 : [1322, 1366]
334.2 :    1 : [1315]
334.7 :    1 : [1402]
334.9 :    2 : [1399, 1409]
335.0 :    1 : [1393]
335.1 :    1 : [1379]
335.4 :    2 : [1400, 1408]
335.5 :    1 : [1351]
335.7 :    1 : [1358]
335.8 :    1 : [1404]
336.8 :    1 : [1382]
336.9 :    1 : [1315]
337.0 :    1 : [1385]
337.2 :    1 : [1364]
337.6 :    1 : [1346]
338.0 :    1 : [1379]
338.5 :    1 : [1358]
338.8 :    3 : [1320, 1357, 1381]
339.6 :    1 : [1382]
339.7 :    1 : [1398]
339.8 :    1 : [1385]
340.0 :    1 : [1364]
340.3 :    1 : [1329]
340.4 :    2 : [1333, 1346]
341.1 :    2 : [1318, 1387]
341.6 :    2 : [1381, 1411]
341.7 :    2 : [1320, 1357]
342.1 :    1 : [1405]
342.5 :    1 : [1398]
343.0 :    1 : [1323]
343.1 :    1 : [1329]
343.2 :    1 : [1353]
343.4 :    1 : [1367]
343.6 :    1 : [1395]
343.9 :    2 : [1318, 1387]
344.2 :    1 : [1383]
