Name: Striatum [D1], Title: Raster plot from device '30085', Hist: False
495.8 :    2 : [9580, 9714]
496.0 :    3 : [9212, 9644, 9790]
496.1 :    2 : [9390, 9829]
496.2 :    1 : [9201]
496.3 :    1 : [9818]
496.4 :    2 : [9329, 9697]
496.5 :    2 : [9487, 9621]
496.8 :    2 : [9258, 9527]
497.0 :    1 : [9578]
497.1 :    2 : [9237, 9856]
497.4 :    1 : [9658]
497.5 :    2 : [9129, 9676]
497.7 :    2 : [9159, 9616]
497.8 :    2 : [9668, 9930]
497.9 :    3 : [9580, 9714, 9752]
498.2 :    2 : [9644, 9790]
498.3 :    1 : [9829]
498.4 :    3 : [9201, 9212, 9818]
498.5 :    1 : [9390]
498.6 :    2 : [9329, 9621]
498.7 :    2 : [9487, 9697]
499.0 :    2 : [9258, 9527]
499.3 :    2 : [9237, 9578]
499.5 :    2 : [9658, 9856]
499.6 :    2 : [9129, 9676]
499.8 :    1 : [9159]
499.9 :    3 : [9616, 9668, 9930]
500.0 :    2 : [9714, 9752]
500.1 :    1 : [9580]
500.3 :    1 : [9790]
500.4 :    2 : [9644, 9829]
500.5 :    2 : [9212, 9818]
500.7 :    4 : [9201, 9329, 9390, 9621]
501.0 :    2 : [9487, 9697]
501.1 :    1 : [9258]
501.2 :    1 : [9527]
501.4 :    1 : [9578]
501.5 :    1 : [9237]
501.7 :    3 : [9129, 9658, 9856]
501.8 :    1 : [9676]
501.9 :    1 : [9159]
502.0 :    1 : [9930]
502.1 :    3 : [9616, 9668, 9752]
502.3 :    2 : [9580, 9714]
502.5 :    2 : [9790, 9829]
502.6 :    1 : [9818]
502.7 :    1 : [9212]
502.8 :    1 : [9644]
502.9 :    2 : [9329, 9621]
503.1 :    1 : [9390]
503.3 :    1 : [9201]
503.4 :    4 : [9258, 9487, 9527, 9697]
503.6 :    1 : [9237]
503.7 :    1 : [9578]
503.8 :    3 : [9129, 9658, 9856]
503.9 :    1 : [9676]
504.0 :    1 : [9159]
504.1 :    1 : [9930]
504.2 :    1 : [9668]
504.3 :    2 : [9616, 9752]
504.5 :    1 : [9580]
504.6 :    1 : [9829]
504.7 :    2 : [9790, 9818]
504.8 :    2 : [9212, 9714]
505.0 :    2 : [9621, 9644]
505.2 :    1 : [9390]
505.4 :    1 : [9329]
505.5 :    4 : [9201, 9258, 9527, 9697]
505.7 :    1 : [9237]
505.8 :    2 : [9487, 9578]
505.9 :    2 : [9129, 9658]
506.0 :    2 : [9676, 9856]
506.2 :    2 : [9159, 9930]
506.4 :    3 : [9616, 9668, 9752]
506.6 :    1 : [9580]
