Name: NAc [GABA1], Title: Raster plot from device '30073', Hist: False
636.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
638.0 :    1 : [289]
638.1 :    2 : [283, 287]
638.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
640.1 :    1 : [289]
640.2 :    2 : [283, 287]
640.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
642.2 :    1 : [289]
642.3 :    2 : [283, 287]
642.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
644.3 :    1 : [289]
644.4 :    2 : [283, 287]
644.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
646.4 :    1 : [289]
646.5 :    2 : [283, 287]
646.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
648.5 :    1 : [289]
648.6 :    2 : [283, 287]
648.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
650.6 :    1 : [289]
650.7 :    2 : [283, 287]
650.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
652.7 :    1 : [289]
652.8 :    2 : [283, 287]
652.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
654.8 :    1 : [289]
654.9 :    2 : [283, 287]
655.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
656.9 :    1 : [289]
657.0 :    2 : [283, 287]
657.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
659.0 :    1 : [289]
659.1 :    2 : [283, 287]
659.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
661.1 :    1 : [289]
661.2 :    2 : [283, 287]
661.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
663.2 :    1 : [289]
663.3 :    2 : [283, 287]
663.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
665.3 :    1 : [289]
665.4 :    2 : [283, 287]
665.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
667.4 :    1 : [289]
667.5 :    2 : [283, 287]
667.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
669.5 :    1 : [289]
669.6 :    2 : [283, 287]
669.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
671.6 :    1 : [289]
671.7 :    2 : [283, 287]
671.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
673.7 :    1 : [289]
673.8 :    2 : [283, 287]
673.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
675.8 :    1 : [289]
675.9 :    2 : [283, 287]
676.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
677.9 :    1 : [289]
678.0 :    2 : [283, 287]
678.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
680.0 :    1 : [289]
680.1 :    2 : [283, 287]
680.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
682.1 :    1 : [289]
682.2 :    2 : [283, 287]
682.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
684.2 :    1 : [289]
684.3 :    2 : [283, 287]
684.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
686.3 :    1 : [289]
686.4 :    2 : [283, 287]
686.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
688.4 :    1 : [289]
688.5 :    2 : [283, 287]
688.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
690.5 :    1 : [289]
690.6 :    2 : [283, 287]
690.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
692.6 :    1 : [289]
692.7 :    2 : [283, 287]
692.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
694.7 :    1 : [289]
694.8 :    2 : [283, 287]
694.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
696.8 :    1 : [289]
696.9 :    2 : [283, 287]
697.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
698.9 :    1 : [289]
699.0 :    2 : [283, 287]
699.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
701.0 :    1 : [289]
701.1 :    2 : [283, 287]
701.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
703.1 :    1 : [289]
703.2 :    2 : [283, 287]
703.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
705.2 :    1 : [289]
705.3 :    2 : [283, 287]
705.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
707.3 :    1 : [289]
707.4 :    2 : [283, 287]
707.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
709.4 :    1 : [289]
709.5 :    2 : [283, 287]
709.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
711.5 :    1 : [289]
711.6 :    2 : [283, 287]
711.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
713.6 :    1 : [289]
713.7 :    2 : [283, 287]
713.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
715.7 :    1 : [289]
715.8 :    2 : [283, 287]
715.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
717.8 :    1 : [289]
717.9 :    2 : [283, 287]
718.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
719.9 :    1 : [289]
720.0 :    2 : [283, 287]
720.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
722.0 :    1 : [289]
722.1 :    2 : [283, 287]
722.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
724.1 :    1 : [289]
724.2 :    2 : [283, 287]
724.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
726.2 :    1 : [289]
726.3 :    2 : [283, 287]
726.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
728.3 :    1 : [289]
728.4 :    2 : [283, 287]
728.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
730.4 :    1 : [289]
730.5 :    2 : [283, 287]
730.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
732.5 :    1 : [289]
732.6 :    2 : [283, 287]
732.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
734.6 :    1 : [289]
734.7 :    2 : [283, 287]
734.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
736.7 :    1 : [289]
736.8 :    2 : [283, 287]
736.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
738.8 :    1 : [289]
738.9 :    2 : [283, 287]
739.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
740.9 :    1 : [289]
741.0 :    2 : [283, 287]
741.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
743.0 :    1 : [289]
743.1 :    2 : [283, 287]
743.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
745.1 :    1 : [289]
745.2 :    2 : [283, 287]
745.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
747.2 :    1 : [289]
747.3 :    2 : [283, 287]
747.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
749.3 :    1 : [289]
749.4 :    2 : [283, 287]
749.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
751.4 :    1 : [289]
751.5 :    2 : [283, 287]
751.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
753.5 :    1 : [289]
753.6 :    2 : [283, 287]
753.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
755.6 :    1 : [289]
755.7 :    2 : [283, 287]
755.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
757.7 :    1 : [289]
757.8 :    2 : [283, 287]
757.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
759.8 :    1 : [289]
759.9 :    2 : [283, 287]
760.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
761.9 :    1 : [289]
762.0 :    2 : [283, 287]
762.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
764.0 :    1 : [289]
764.1 :    2 : [283, 287]
764.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
766.1 :    1 : [289]
766.2 :    2 : [283, 287]
766.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
768.2 :    1 : [289]
768.3 :    2 : [283, 287]
768.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
770.3 :    1 : [289]
770.4 :    2 : [283, 287]
770.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
772.4 :    1 : [289]
772.5 :    2 : [283, 287]
772.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
774.5 :    1 : [289]
774.6 :    2 : [283, 287]
774.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
776.6 :    1 : [289]
776.7 :    2 : [283, 287]
776.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
778.7 :    1 : [289]
778.8 :    2 : [283, 287]
778.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
780.8 :    1 : [289]
780.9 :    2 : [283, 287]
781.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
782.9 :    1 : [289]
783.0 :    2 : [283, 287]
783.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
785.0 :    1 : [289]
785.1 :    2 : [283, 287]
785.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
787.1 :    1 : [289]
787.2 :    2 : [283, 287]
787.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
789.2 :    1 : [289]
789.3 :    2 : [283, 287]
789.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
791.3 :    1 : [289]
791.4 :    2 : [283, 287]
791.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
793.4 :    1 : [289]
793.5 :    2 : [283, 287]
793.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
795.5 :    1 : [289]
795.6 :    2 : [283, 287]
795.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
797.6 :    1 : [289]
797.7 :    2 : [283, 287]
797.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
799.7 :    1 : [289]
799.8 :    2 : [283, 287]
799.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
801.8 :    1 : [289]
801.9 :    2 : [283, 287]
802.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
803.9 :    1 : [289]
804.0 :    2 : [283, 287]
804.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
806.0 :    1 : [289]
806.1 :    2 : [283, 287]
806.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
808.1 :    1 : [289]
808.2 :    2 : [283, 287]
808.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
810.2 :    1 : [289]
810.3 :    2 : [283, 287]
810.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
812.3 :    1 : [289]
812.4 :    2 : [283, 287]
812.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
814.4 :    1 : [289]
814.5 :    2 : [283, 287]
814.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
816.5 :    1 : [289]
816.6 :    2 : [283, 287]
816.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
818.6 :    1 : [289]
818.7 :    2 : [283, 287]
818.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
820.7 :    1 : [289]
820.8 :    2 : [283, 287]
820.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
822.8 :    1 : [289]
822.9 :    2 : [283, 287]
823.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
824.9 :    1 : [289]
825.0 :    2 : [283, 287]
825.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
827.0 :    1 : [289]
827.1 :    2 : [283, 287]
827.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
829.1 :    1 : [289]
829.2 :    2 : [283, 287]
829.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
831.2 :    1 : [289]
831.3 :    2 : [283, 287]
831.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
833.3 :    1 : [289]
833.4 :    2 : [283, 287]
833.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
835.4 :    1 : [289]
835.5 :    2 : [283, 287]
835.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
837.5 :    1 : [289]
837.6 :    2 : [283, 287]
837.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
839.6 :    1 : [289]
839.7 :    2 : [283, 287]
839.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
841.7 :    1 : [289]
841.8 :    2 : [283, 287]
841.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
843.8 :    1 : [289]
843.9 :    2 : [283, 287]
844.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
845.9 :    1 : [289]
846.0 :    2 : [283, 287]
846.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
848.0 :    1 : [289]
848.1 :    2 : [283, 287]
848.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
850.1 :    1 : [289]
850.2 :    2 : [283, 287]
850.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
852.2 :    1 : [289]
852.3 :    2 : [283, 287]
852.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
854.3 :    1 : [289]
854.4 :    2 : [283, 287]
854.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
856.4 :    1 : [289]
856.5 :    2 : [283, 287]
856.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
858.5 :    1 : [289]
858.6 :    2 : [283, 287]
858.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
860.6 :    1 : [289]
860.7 :    2 : [283, 287]
860.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
862.7 :    1 : [289]
862.8 :    2 : [283, 287]
862.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
864.8 :    1 : [289]
864.9 :    2 : [283, 287]
865.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
866.9 :    1 : [289]
867.0 :    2 : [283, 287]
867.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
869.0 :    1 : [289]
869.1 :    2 : [283, 287]
869.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
871.1 :    1 : [289]
871.2 :    2 : [283, 287]
871.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
873.2 :    1 : [289]
873.3 :    2 : [283, 287]
873.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
875.3 :    1 : [289]
875.4 :    2 : [283, 287]
875.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
877.4 :    1 : [289]
877.5 :    2 : [283, 287]
877.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
879.5 :    1 : [289]
879.6 :    2 : [283, 287]
879.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
881.6 :    1 : [289]
881.7 :    2 : [283, 287]
881.8 :    7 : [284, 285, 285, 292, 292, 292, 292]
883.7 :    1 : [289]
883.8 :    2 : [283, 287]
883.9 :    7 : [284, 285, 285, 292, 292, 292, 292]
885.8 :    1 : [289]
885.9 :    2 : [283, 287]
886.0 :    7 : [284, 285, 285, 292, 292, 292, 292]
887.9 :    1 : [289]
888.0 :    2 : [283, 287]
888.1 :    7 : [284, 285, 285, 292, 292, 292, 292]
890.0 :    1 : [289]
890.1 :    2 : [283, 287]
890.2 :    7 : [284, 285, 285, 292, 292, 292, 292]
892.1 :    1 : [289]
892.2 :    2 : [283, 287]
892.3 :    7 : [284, 285, 285, 292, 292, 292, 292]
894.2 :    1 : [289]
894.3 :    2 : [283, 287]
894.4 :    7 : [284, 285, 285, 292, 292, 292, 292]
896.3 :    1 : [289]
896.4 :    2 : [283, 287]
896.5 :    7 : [284, 285, 285, 292, 292, 292, 292]
898.4 :    1 : [289]
898.5 :    2 : [283, 287]
898.6 :    7 : [284, 285, 285, 292, 292, 292, 292]
900.5 :    1 : [289]
900.6 :    2 : [283, 287]
900.7 :    7 : [284, 285, 285, 292, 292, 292, 292]
902.6 :    1 : [289]
902.7 :    2 : [283, 287]
