Name: SNc [DA], Title: Raster plot from device '95191', Hist: False
320.2 :    2 : [5862, 5928]
320.3 :    2 : [5883, 5894]
320.4 :    3 : [5878, 5916, 5943]
320.5 :    4 : [5884, 5893, 5931, 5960]
320.6 :    1 : [5885]
320.7 :    3 : [5886, 5926, 5961]
320.8 :    5 : [5875, 5877, 5910, 5914, 5957]
320.9 :    3 : [5881, 5898, 5924]
321.0 :    1 : [5904]
321.1 :    4 : [5865, 5887, 5889, 5945]
321.2 :    4 : [5895, 5905, 5917, 5938]
321.3 :    3 : [5880, 5952, 5954]
321.4 :    2 : [5920, 5933]
321.5 :    1 : [5936]
321.7 :    2 : [5874, 5921]
321.8 :    2 : [5871, 5882]
321.9 :    2 : [5897, 5909]
322.2 :    3 : [5906, 5908, 5955]
322.3 :    1 : [5864]
322.4 :    2 : [5883, 5891]
322.5 :    2 : [5878, 5946]
322.6 :    2 : [5893, 5960]
322.7 :    3 : [5869, 5885, 5894]
322.8 :    4 : [5886, 5888, 5902, 5926]
322.9 :    3 : [5877, 5914, 5957]
323.0 :    3 : [5910, 5942, 5949]
323.1 :    1 : [5898]
323.2 :    1 : [5889]
323.3 :    4 : [5895, 5912, 5917, 5944]
323.4 :    4 : [5880, 5922, 5941, 5954]
323.5 :    4 : [5865, 5905, 5920, 5928]
323.9 :    4 : [5862, 5884, 5916, 5943]
324.0 :    2 : [5881, 5909]
324.1 :    1 : [5931]
324.3 :    2 : [5955, 5961]
324.4 :    4 : [5875, 5904, 5908, 5924]
324.5 :    2 : [5891, 5945]
324.6 :    4 : [5871, 5878, 5906, 5946]
324.7 :    2 : [5887, 5960]
324.8 :    2 : [5869, 5952]
324.9 :    6 : [5888, 5902, 5926, 5933, 5936, 5938]
325.0 :    1 : [5894]
325.1 :    4 : [5882, 5886, 5942, 5949]
325.2 :    2 : [5874, 5914]
325.3 :    3 : [5889, 5921, 5957]
325.4 :    6 : [5864, 5877, 5895, 5898, 5910, 5912]
325.5 :    2 : [5897, 5941]
325.6 :    4 : [5880, 5917, 5920, 5954]
325.9 :    2 : [5883, 5905]
326.0 :    5 : [5862, 5884, 5893, 5916, 5943]
326.1 :    1 : [5881]
326.2 :    3 : [5865, 5909, 5931]
326.4 :    2 : [5885, 5961]
326.5 :    3 : [5875, 5904, 5924]
326.6 :    1 : [5945]
326.7 :    1 : [5908]
326.8 :    1 : [5960]
326.9 :    3 : [5887, 5922, 5952]
327.0 :    5 : [5878, 5902, 5926, 5933, 5936]
327.1 :    2 : [5928, 5938]
327.2 :    3 : [5882, 5942, 5949]
327.4 :    4 : [5874, 5894, 5906, 5921]
327.5 :    2 : [5895, 5912]
327.6 :    1 : [5941]
327.7 :    2 : [5897, 5914]
327.8 :    1 : [5920]
327.9 :    4 : [5880, 5886, 5898, 5957]
328.0 :    2 : [5883, 5955]
328.1 :    5 : [5884, 5893, 5910, 5916, 5917]
328.2 :    2 : [5881, 5954]
328.3 :    4 : [5871, 5877, 5891, 5943]
328.4 :    4 : [5862, 5869, 5931, 5946]
328.6 :    3 : [5888, 5904, 5924]
328.7 :    4 : [5875, 5885, 5905, 5909]
328.8 :    1 : [5961]
328.9 :    1 : [5960]
329.0 :    2 : [5922, 5952]
329.1 :    4 : [5902, 5926, 5933, 5936]
329.2 :    3 : [5887, 5889, 5928]
329.3 :    1 : [5949]
329.4 :    2 : [5908, 5942]
329.5 :    2 : [5921, 5938]
329.6 :    3 : [5865, 5895, 5912]
329.7 :    1 : [5874]
329.9 :    1 : [5878]
330.0 :    3 : [5894, 5897, 5941]
330.2 :    3 : [5883, 5916, 5920]
330.3 :    3 : [5881, 5893, 5955]
330.4 :    2 : [5884, 5945]
330.5 :    1 : [5891]
330.6 :    4 : [5869, 5880, 5914, 5946]
330.7 :    2 : [5888, 5904]
330.8 :    2 : [5898, 5943]
330.9 :    2 : [5882, 5924]
331.0 :    2 : [5917, 5931]
331.1 :    5 : [5862, 5885, 5922, 5952, 5957]
331.2 :    3 : [5875, 5926, 5933]
331.3 :    2 : [5928, 5936]
331.4 :    5 : [5902, 5906, 5954, 5960, 5961]
331.5 :    2 : [5909, 5910]
331.6 :    1 : [5889]
331.7 :    2 : [5886, 5921]
331.8 :    1 : [5949]
331.9 :    2 : [5887, 5942]
332.0 :    1 : [5912]
332.1 :    1 : [5895]
332.2 :    1 : [5938]
332.3 :    2 : [5874, 5916]
332.4 :    2 : [5881, 5905]
332.6 :    3 : [5897, 5908, 5945]
332.7 :    2 : [5883, 5941]
332.8 :    3 : [5893, 5904, 5955]
332.9 :    2 : [5894, 5920]
333.0 :    3 : [5869, 5882, 5891]
333.1 :    3 : [5884, 5888, 5946]
333.2 :    1 : [5922]
333.3 :    2 : [5933, 5952]
333.5 :    1 : [5928]
333.6 :    2 : [5924, 5926]
333.7 :    1 : [5943]
333.8 :    2 : [5880, 5936]
333.9 :    2 : [5885, 5931]
334.1 :    2 : [5875, 5878]
334.2 :    2 : [5902, 5921]
334.4 :    2 : [5889, 5960]
334.6 :    3 : [5862, 5949, 5961]
334.7 :    1 : [5881]
334.9 :    2 : [5912, 5942]
335.0 :    2 : [5916, 5945]
335.1 :    2 : [5887, 5895]
335.4 :    3 : [5874, 5882, 5904]
335.5 :    1 : [5922]
335.6 :    4 : [5883, 5893, 5938, 5955]
335.7 :    3 : [5888, 5897, 5909]
335.8 :    1 : [5869]
335.9 :    2 : [5891, 5946]
336.0 :    2 : [5933, 5952]
336.1 :    2 : [5894, 5928]
