Name: BNST[BNST_GABA], Title: Raster plot from device '3237', Hist: False
486.8 :    1 : [307]
487.2 :    1 : [296]
488.9 :    1 : [295]
489.1 :    1 : [298]
489.2 :    1 : [308]
490.8 :    1 : [307]
490.9 :    2 : [296, 302]
497.3 :    1 : [298]
497.4 :    2 : [295, 301]
497.5 :    2 : [302, 308]
498.2 :    1 : [296]
498.5 :    1 : [307]
501.3 :    1 : [301]
501.9 :    1 : [298]
502.0 :    2 : [295, 308]
502.1 :    1 : [302]
503.0 :    1 : [296]
504.2 :    1 : [307]
512.2 :    1 : [301]
512.4 :    1 : [296]
512.5 :    1 : [298]
512.6 :    1 : [307]
512.7 :    1 : [302]
512.9 :    2 : [295, 308]
515.9 :    1 : [301]
516.0 :    1 : [296]
516.3 :    1 : [298]
516.8 :    1 : [302]
516.9 :    1 : [295]
517.1 :    1 : [308]
517.2 :    1 : [307]
520.1 :    1 : [301]
520.2 :    1 : [296]
520.6 :    1 : [298]
521.4 :    1 : [302]
527.8 :    1 : [308]
527.9 :    2 : [295, 296]
528.1 :    2 : [298, 302]
528.2 :    2 : [301, 307]
531.6 :    1 : [296]
532.5 :    2 : [295, 308]
532.6 :    2 : [298, 302]
533.0 :    2 : [301, 307]
536.0 :    1 : [296]
537.0 :    1 : [308]
537.1 :    1 : [298]
537.3 :    1 : [295]
537.5 :    1 : [302]
538.5 :    1 : [307]
543.3 :    1 : [301]
543.5 :    1 : [296]
543.9 :    3 : [295, 302, 308]
544.2 :    2 : [298, 307]
547.6 :    2 : [296, 301]
548.7 :    1 : [295]
548.9 :    2 : [302, 308]
549.1 :    1 : [298]
549.2 :    1 : [307]
552.8 :    1 : [301]
558.3 :    1 : [296]
558.6 :    1 : [302]
558.8 :    2 : [295, 298]
558.9 :    1 : [308]
559.0 :    1 : [307]
559.4 :    1 : [301]
561.4 :    1 : [296]
562.3 :    1 : [302]
563.1 :    1 : [308]
563.2 :    2 : [295, 298]
563.6 :    1 : [307]
564.2 :    1 : [301]
565.1 :    1 : [296]
566.6 :    1 : [302]
573.9 :    1 : [296]
574.0 :    3 : [295, 298, 308]
574.1 :    1 : [307]
574.2 :    2 : [301, 302]
576.8 :    1 : [296]
576.9 :    1 : [298]
578.6 :    1 : [295]
578.7 :    2 : [301, 308]
578.8 :    1 : [307]
578.9 :    1 : [302]
580.7 :    1 : [296]
580.9 :    1 : [298]
582.8 :    2 : [295, 302]
583.4 :    1 : [308]
589.4 :    2 : [296, 307]
589.7 :    1 : [298]
589.8 :    1 : [301]
590.0 :    1 : [302]
590.1 :    2 : [295, 308]
592.6 :    1 : [307]
592.9 :    1 : [296]
594.2 :    1 : [298]
594.8 :    2 : [301, 302]
595.0 :    2 : [295, 308]
597.2 :    1 : [307]
597.5 :    1 : [296]
604.7 :    1 : [301]
604.8 :    2 : [298, 302]
604.9 :    1 : [296]
605.0 :    2 : [295, 308]
605.2 :    1 : [307]
608.8 :    1 : [301]
609.2 :    2 : [298, 302]
609.3 :    1 : [296]
609.4 :    3 : [295, 307, 308]
612.8 :    1 : [302]
612.9 :    1 : [308]
613.2 :    1 : [298]
613.6 :    1 : [295]
614.0 :    1 : [301]
620.1 :    1 : [296]
620.2 :    1 : [307]
620.4 :    1 : [302]
620.6 :    2 : [298, 301]
620.8 :    1 : [308]
620.9 :    1 : [295]
