Name: Motor cortex [Glu0], Title: Raster plot from device '2503', Hist: False
 65.8 :    3 : [1116, 1151, 1172]
 65.9 :    1 : [1103]
 66.0 :    1 : [1161]
 66.1 :    2 : [1122, 1154]
 66.2 :    3 : [1075, 1107, 1173]
 66.5 :    1 : [1164]
 66.8 :    2 : [1123, 1137]
 66.9 :    1 : [1095]
 67.0 :    2 : [1143, 1148]
 67.1 :    1 : [1105]
 67.2 :    1 : [1166]
 67.3 :    3 : [1097, 1134, 1170]
 67.7 :    1 : [1092]
 67.8 :    3 : [1129, 1155, 1167]
 67.9 :    1 : [1077]
 68.0 :    1 : [1153]
 68.1 :    1 : [1144]
 68.2 :    1 : [1159]
 68.4 :    1 : [1076]
 68.5 :    2 : [1117, 1147]
 69.1 :    1 : [1138]
 69.2 :    1 : [1107]
 69.3 :    2 : [1121, 1126]
 69.4 :    2 : [1086, 1103]
 69.6 :    1 : [1095]
 69.7 :    2 : [1125, 1164]
 69.8 :    1 : [1119]
 69.9 :    2 : [1088, 1090]
 70.0 :    1 : [1094]
 70.1 :    1 : [1111]
 70.3 :    1 : [1170]
 70.4 :    1 : [1145]
 70.5 :    2 : [1074, 1078]
 70.6 :    2 : [1084, 1135]
 70.7 :    1 : [1161]
 70.9 :    1 : [1123]
 71.0 :    3 : [1077, 1136, 1142]
 71.2 :    3 : [1098, 1137, 1151]
 71.3 :    1 : [1129]
 71.7 :    1 : [1116]
 71.8 :    2 : [1093, 1158]
 71.9 :    1 : [1157]
 72.1 :    1 : [1159]
 72.2 :    2 : [1117, 1152]
 72.3 :    1 : [1148]
 72.4 :    1 : [1091]
 72.6 :    1 : [1118]
 72.7 :    1 : [1149]
 72.8 :    1 : [1113]
 73.0 :    2 : [1122, 1164]
 73.1 :    1 : [1107]
 73.2 :    2 : [1087, 1166]
 73.3 :    1 : [1119]
 73.4 :    3 : [1090, 1127, 1168]
 73.6 :    2 : [1131, 1140]
 73.7 :    3 : [1105, 1144, 1171]
 73.9 :    1 : [1146]
 74.0 :    1 : [1170]
 74.3 :    1 : [1080]
 74.4 :    1 : [1088]
 74.5 :    2 : [1103, 1173]
 74.6 :    2 : [1098, 1142]
 74.7 :    2 : [1074, 1111]
 74.8 :    1 : [1116]
 75.0 :    1 : [1137]
 75.1 :    1 : [1077]
 75.2 :    1 : [1150]
 75.3 :    1 : [1139]
 75.6 :    1 : [1145]
 75.7 :    1 : [1086]
 75.8 :    1 : [1082]
 75.9 :    1 : [1106]
 76.0 :    1 : [1162]
 76.1 :    2 : [1135, 1159]
 76.2 :    1 : [1083]
 76.5 :    2 : [1091, 1144]
 76.6 :    1 : [1161]
 76.7 :    1 : [1129]
 76.9 :    1 : [1078]
 77.0 :    2 : [1075, 1151]
 77.1 :    1 : [1121]
 77.3 :    2 : [1117, 1126]
 77.4 :    1 : [1094]
 77.6 :    4 : [1095, 1109, 1133, 1136]
 77.9 :    1 : [1142]
 78.0 :    3 : [1107, 1149, 1165]
 78.1 :    1 : [1170]
 78.6 :    2 : [1116, 1146]
 78.7 :    1 : [1105]
 78.8 :    2 : [1112, 1119]
 78.9 :    1 : [1154]
 79.0 :    1 : [1087]
 79.1 :    1 : [1138]
 79.2 :    1 : [1158]
 79.4 :    3 : [1076, 1080, 1166]
 79.8 :    1 : [1159]
 79.9 :    1 : [1157]
 80.0 :    2 : [1100, 1111]
 80.1 :    2 : [1074, 1164]
 80.2 :    2 : [1077, 1144]
 80.6 :    2 : [1075, 1095]
 80.7 :    2 : [1171, 1173]
 80.8 :    4 : [1079, 1107, 1108, 1129]
 80.9 :    1 : [1127]
 81.1 :    2 : [1078, 1103]
 81.2 :    2 : [1121, 1145]
 81.3 :    1 : [1110]
 81.4 :    2 : [1118, 1132]
 81.5 :    2 : [1147, 1155]
 81.6 :    1 : [1150]
 81.7 :    1 : [1153]
 81.9 :    1 : [1136]
 82.0 :    1 : [1106]
 82.1 :    1 : [1098]
 82.2 :    3 : [1143, 1151, 1152]
 82.3 :    1 : [1123]
 82.4 :    1 : [1170]
 82.5 :    1 : [1105]
 82.6 :    1 : [1089]
 82.7 :    1 : [1119]
 82.8 :    1 : [1116]
 82.9 :    2 : [1093, 1111]
 83.2 :    1 : [1140]
 83.3 :    1 : [1082]
 83.6 :    1 : [1172]
 83.7 :    1 : [1088]
 83.8 :    1 : [1165]
 83.9 :    2 : [1159, 1164]
 84.0 :    1 : [1080]
 84.1 :    2 : [1087, 1117]
 84.2 :    3 : [1129, 1135, 1161]
 84.3 :    2 : [1083, 1095]
 84.4 :    2 : [1102, 1167]
 84.5 :    1 : [1146]
 84.7 :    1 : [1090]
 84.9 :    2 : [1077, 1134]
 85.2 :    2 : [1098, 1144]
 85.3 :    1 : [1147]
 85.4 :    2 : [1138, 1142]
 85.5 :    1 : [1100]
 85.7 :    1 : [1103]
 86.2 :    1 : [1113]
 86.4 :    2 : [1106, 1131]
 86.5 :    3 : [1136, 1150, 1155]
 86.6 :    1 : [1137]
 86.8 :    2 : [1075, 1079]
 87.0 :    3 : [1074, 1095, 1133]
 87.2 :    2 : [1107, 1170]
 87.3 :    1 : [1111]
 87.4 :    1 : [1139]
 87.5 :    3 : [1093, 1119, 1159]
 88.0 :    1 : [1116]
 88.1 :    2 : [1088, 1161]
 88.2 :    3 : [1087, 1125, 1166]
 88.4 :    1 : [1146]
 88.5 :    4 : [1086, 1121, 1123, 1168]
 88.6 :    1 : [1098]
 88.8 :    1 : [1164]
 88.9 :    1 : [1129]
 89.1 :    2 : [1105, 1144]
 89.2 :    1 : [1094]
 89.3 :    1 : [1134]
 89.6 :    1 : [1142]
 90.1 :    1 : [1154]
 90.2 :    1 : [1136]
 90.4 :    2 : [1150, 1157]
 90.6 :    2 : [1090, 1158]
 90.7 :    1 : [1100]
 90.9 :    2 : [1077, 1137]
 91.0 :    2 : [1074, 1113]
 91.4 :    1 : [1095]
 91.6 :    1 : [1117]
 92.1 :    1 : [1093]
 92.4 :    3 : [1080, 1109, 1145]
 92.5 :    1 : [1087]
 92.6 :    1 : [1164]
 92.7 :    1 : [1170]
 92.8 :    1 : [1146]
 92.9 :    4 : [1075, 1106, 1129, 1138]
 93.0 :    2 : [1102, 1159]
 93.1 :    4 : [1086, 1107, 1111, 1166]
 93.4 :    2 : [1119, 1140]
 93.5 :    1 : [1098]
 93.6 :    1 : [1150]
 93.9 :    3 : [1105, 1135, 1151]
 94.0 :    2 : [1131, 1163]
 94.1 :    2 : [1108, 1152]
 94.3 :    2 : [1139, 1147]
 94.4 :    5 : [1074, 1076, 1090, 1103, 1173]
 94.5 :    1 : [1155]
 94.6 :    1 : [1116]
 94.7 :    2 : [1078, 1088]
 95.0 :    1 : [1079]
 95.1 :    1 : [1172]
 95.2 :    1 : [1121]
 95.3 :    1 : [1083]
 95.4 :    2 : [1095, 1125]
 95.5 :    1 : [1094]
 95.6 :    2 : [1110, 1144]
 96.2 :    1 : [1107]
 96.3 :    1 : [1087]
 96.5 :    1 : [1150]
 96.7 :    2 : [1117, 1134]
 96.8 :    2 : [1097, 1170]
 97.0 :    1 : [1164]
 97.1 :    1 : [1166]
 97.5 :    1 : [1136]
 97.6 :    2 : [1098, 1103]
 97.7 :    1 : [1133]
 98.0 :    2 : [1091, 1126]
 98.3 :    1 : [1129]
 98.4 :    2 : [1075, 1077]
 98.5 :    1 : [1106]
 98.6 :    2 : [1100, 1151]
 98.7 :    1 : [1088]
 98.8 :    3 : [1093, 1123, 1148]
 98.9 :    2 : [1105, 1116]
 99.2 :    3 : [1086, 1089, 1118]
 99.4 :    2 : [1074, 1095]
 99.5 :    1 : [1168]
 99.6 :    1 : [1157]
 99.7 :    2 : [1076, 1170]
 99.9 :    2 : [1107, 1161]
100.0 :    1 : [1146]
100.1 :    2 : [1142, 1154]
100.3 :    3 : [1140, 1147, 1150]
100.5 :    1 : [1173]
101.1 :    1 : [1117]
101.3 :    1 : [1164]
101.5 :    1 : [1138]
101.6 :    4 : [1111, 1113, 1121, 1144]
101.7 :    1 : [1090]
101.9 :    1 : [1151]
102.0 :    2 : [1145, 1165]
102.1 :    1 : [1134]
102.2 :    2 : [1077, 1105]
102.3 :    2 : [1078, 1125]
