Name: STN [Glu], Title: Raster plot from device '4791', Hist: False
352.8 :    1 : [618]
352.9 :    1 : [620]
353.0 :    1 : [616]
353.2 :    1 : [624]
354.1 :    1 : [619]
354.4 :    1 : [633]
354.7 :    1 : [631]
355.2 :    1 : [620]
355.3 :    1 : [621]
355.6 :    2 : [622, 624]
356.0 :    1 : [618]
357.1 :    2 : [619, 633]
357.8 :    1 : [620]
358.6 :    2 : [621, 624]
360.7 :    1 : [633]
361.4 :    1 : [620]
511.7 :    3 : [618, 622, 631]
511.8 :    3 : [614, 619, 624]
512.3 :    2 : [616, 629]
512.6 :    1 : [621]
514.4 :    1 : [629]
514.9 :    1 : [614]
515.4 :    1 : [622]
516.0 :    1 : [618]
516.9 :    1 : [616]
517.0 :    1 : [614]
517.3 :    1 : [629]
517.5 :    1 : [622]
518.2 :    1 : [618]
518.7 :    1 : [619]
519.1 :    2 : [616, 631]
520.0 :    1 : [624]
520.1 :    1 : [629]
520.2 :    1 : [614]
520.7 :    1 : [622]
521.2 :    1 : [616]
521.3 :    1 : [619]
521.8 :    1 : [618]
522.0 :    1 : [631]
522.8 :    1 : [624]
523.1 :    1 : [629]
523.3 :    1 : [616]
523.4 :    2 : [614, 619]
523.8 :    1 : [622]
524.1 :    1 : [631]
524.6 :    1 : [621]
525.0 :    2 : [618, 624]
525.9 :    1 : [629]
526.3 :    1 : [614]
526.4 :    1 : [616]
526.6 :    1 : [619]
526.7 :    1 : [622]
527.1 :    2 : [621, 624]
527.5 :    1 : [631]
528.1 :    1 : [618]
528.7 :    1 : [629]
529.1 :    1 : [614]
529.2 :    1 : [621]
529.5 :    1 : [622]
529.6 :    2 : [616, 619]
530.3 :    1 : [624]
530.7 :    1 : [631]
530.9 :    1 : [618]
531.3 :    1 : [621]
531.5 :    1 : [629]
531.7 :    1 : [614]
532.2 :    1 : [622]
532.4 :    1 : [619]
532.6 :    1 : [616]
533.4 :    2 : [621, 624]
533.7 :    2 : [618, 631]
534.2 :    1 : [629]
534.4 :    1 : [614]
534.8 :    1 : [622]
535.1 :    1 : [619]
535.5 :    2 : [616, 621]
536.4 :    2 : [618, 624]
536.7 :    1 : [631]
536.9 :    2 : [614, 629]
537.4 :    1 : [622]
537.8 :    1 : [619]
538.4 :    1 : [616]
538.9 :    1 : [621]
539.1 :    1 : [618]
539.5 :    1 : [624]
539.6 :    2 : [614, 629]
539.7 :    1 : [631]
540.0 :    1 : [622]
540.4 :    1 : [619]
541.0 :    1 : [621]
541.5 :    1 : [616]
541.8 :    1 : [618]
542.3 :    1 : [614]
542.4 :    1 : [629]
542.6 :    1 : [624]
542.7 :    1 : [622]
542.8 :    1 : [631]
543.2 :    1 : [621]
543.3 :    1 : [619]
544.6 :    2 : [616, 618]
545.1 :    1 : [614]
545.4 :    1 : [629]
545.6 :    1 : [622]
545.7 :    1 : [621]
545.9 :    1 : [624]
546.0 :    1 : [631]
546.4 :    1 : [619]
547.7 :    1 : [618]
548.0 :    1 : [624]
548.1 :    1 : [631]
548.2 :    1 : [616]
548.3 :    1 : [614]
548.7 :    1 : [629]
548.8 :    1 : [622]
549.1 :    1 : [621]
549.9 :    1 : [619]
550.3 :    1 : [616]
550.9 :    1 : [622]
551.2 :    1 : [618]
551.7 :    2 : [614, 631]
551.8 :    1 : [624]
552.0 :    1 : [619]
552.3 :    1 : [629]
552.4 :    1 : [616]
553.3 :    1 : [618]
553.8 :    1 : [614]
553.9 :    1 : [631]
554.1 :    2 : [619, 624]
554.4 :    1 : [629]
554.5 :    2 : [616, 622]
555.4 :    1 : [618]
555.9 :    1 : [614]
556.2 :    1 : [619]
556.3 :    1 : [631]
556.5 :    1 : [629]
556.6 :    1 : [622]
