Name: Thalamus [Glu], Title: Raster plot from device '20337', Hist: False
287.0 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
287.1 :    5 : [1347, 1363, 1380, 1392, 1401]
287.2 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
287.3 :    3 : [1322, 1366, 1371]
287.4 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
287.5 :    3 : [1338, 1361, 1384]
287.6 :    3 : [1342, 1343, 1345]
287.7 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
287.8 :    4 : [1325, 1346, 1389, 1390]
287.9 :    4 : [1341, 1348, 1354, 1385]
288.0 :    5 : [1339, 1365, 1391, 1396, 1411]
288.1 :    4 : [1326, 1334, 1359, 1399]
288.2 :    3 : [1319, 1332, 1404]
288.3 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
288.4 :    4 : [1324, 1340, 1375, 1398]
288.5 :    3 : [1314, 1329, 1367]
288.6 :    2 : [1357, 1376]
288.7 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
288.8 :    2 : [1337, 1360]
288.9 :    2 : [1315, 1344]
289.0 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
289.1 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
289.2 :    5 : [1347, 1363, 1380, 1392, 1401]
289.3 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
289.4 :    3 : [1322, 1366, 1371]
289.5 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
289.6 :    3 : [1338, 1361, 1384]
289.7 :    3 : [1342, 1343, 1345]
289.8 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
289.9 :    4 : [1325, 1346, 1389, 1390]
290.0 :    4 : [1341, 1348, 1354, 1385]
290.1 :    5 : [1339, 1365, 1391, 1396, 1411]
290.2 :    4 : [1326, 1334, 1359, 1399]
290.3 :    3 : [1319, 1332, 1404]
290.4 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
290.5 :    4 : [1324, 1340, 1375, 1398]
290.6 :    3 : [1314, 1329, 1367]
290.7 :    2 : [1357, 1376]
290.8 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
290.9 :    2 : [1337, 1360]
291.0 :    2 : [1315, 1344]
291.1 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
291.2 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
291.3 :    5 : [1347, 1363, 1380, 1392, 1401]
291.4 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
291.5 :    3 : [1322, 1366, 1371]
291.6 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
291.7 :    3 : [1338, 1361, 1384]
291.8 :    3 : [1342, 1343, 1345]
291.9 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
292.0 :    4 : [1325, 1346, 1389, 1390]
292.1 :    4 : [1341, 1348, 1354, 1385]
292.2 :    5 : [1339, 1365, 1391, 1396, 1411]
292.3 :    4 : [1326, 1334, 1359, 1399]
292.4 :    3 : [1319, 1332, 1404]
292.5 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
292.6 :    4 : [1324, 1340, 1375, 1398]
292.7 :    3 : [1314, 1329, 1367]
292.8 :    2 : [1357, 1376]
292.9 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
293.0 :    2 : [1337, 1360]
293.1 :    2 : [1315, 1344]
293.2 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
293.3 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
293.4 :    5 : [1347, 1363, 1380, 1392, 1401]
293.5 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
293.6 :    3 : [1322, 1366, 1371]
293.7 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
293.8 :    3 : [1338, 1361, 1384]
293.9 :    3 : [1342, 1343, 1345]
294.0 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
294.1 :    4 : [1325, 1346, 1389, 1390]
294.2 :    4 : [1341, 1348, 1354, 1385]
