Name: Motor cortex [Glu1], Title: Raster plot from device '20338', Hist: False
292.2 :    4 : [1759, 1767, 1772, 1791]
292.3 :    4 : [1773, 1780, 1794, 1824]
292.4 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
292.5 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
292.6 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
292.7 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
292.8 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
292.9 :    4 : [1790, 1809, 1816, 1822]
293.0 :    3 : [1750, 1781, 1829]
293.2 :    1 : [1820]
293.3 :    1 : [1801]
294.1 :    1 : [1835]
294.2 :    1 : [1805]
294.3 :    4 : [1759, 1767, 1772, 1791]
294.4 :    4 : [1773, 1780, 1794, 1824]
294.5 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
294.6 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
294.7 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
294.8 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
294.9 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
295.0 :    4 : [1790, 1809, 1816, 1822]
295.1 :    3 : [1750, 1781, 1829]
295.3 :    1 : [1820]
295.4 :    1 : [1801]
296.2 :    1 : [1835]
296.3 :    1 : [1805]
296.4 :    4 : [1759, 1767, 1772, 1791]
296.5 :    4 : [1773, 1780, 1794, 1824]
296.6 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
296.7 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
296.8 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
296.9 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
297.0 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
297.1 :    4 : [1790, 1809, 1816, 1822]
297.2 :    3 : [1750, 1781, 1829]
297.4 :    1 : [1820]
297.5 :    1 : [1801]
298.3 :    1 : [1835]
298.4 :    1 : [1805]
298.5 :    4 : [1759, 1767, 1772, 1791]
298.6 :    4 : [1773, 1780, 1794, 1824]
298.7 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
298.8 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
298.9 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
299.0 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
299.1 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
299.2 :    4 : [1790, 1809, 1816, 1822]
299.3 :    3 : [1750, 1781, 1829]
299.5 :    1 : [1820]
299.6 :    1 : [1801]
300.4 :    1 : [1835]
300.5 :    1 : [1805]
300.6 :    4 : [1759, 1767, 1772, 1791]
300.7 :    4 : [1773, 1780, 1794, 1824]
300.8 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
300.9 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
301.0 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
301.1 :   19 : [1753, 1757, 1764, 1771, 1777, 1784, 1789, 1795, 1799, 1800, 1817, 1819, 1826, 1828, 1833, 1834, 1836, 1846, 1847]
301.2 :   11 : [1762, 1765, 1778, 1785, 1797, 1802, 1810, 1812, 1818, 1841, 1845]
301.3 :    4 : [1790, 1809, 1816, 1822]
301.4 :    3 : [1750, 1781, 1829]
301.6 :    1 : [1820]
301.7 :    1 : [1801]
302.5 :    1 : [1835]
302.6 :    1 : [1805]
302.7 :    4 : [1759, 1767, 1772, 1791]
302.8 :    4 : [1773, 1780, 1794, 1824]
302.9 :   18 : [1751, 1755, 1760, 1763, 1766, 1776, 1782, 1783, 1788, 1803, 1804, 1806, 1807, 1815, 1825, 1827, 1844, 1849]
303.0 :   12 : [1754, 1775, 1779, 1786, 1796, 1808, 1814, 1821, 1823, 1838, 1840, 1848]
303.1 :   21 : [1752, 1756, 1758, 1761, 1768, 1769, 1770, 1774, 1787, 1792, 1793, 1798, 1811, 1813, 1830, 1831, 1832, 1837, 1839, 1842, 1843]
