Name: Striatum [D2], Title: Raster plot from device '5457', Hist: False
 38.1 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 38.2 :    4 : [1078, 1079, 1109, 1110]
 38.3 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 38.4 :    1 : [1080]
 38.5 :    2 : [1035, 1048]
 38.6 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 38.8 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 38.9 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 39.0 :    4 : [1028, 1058, 1059, 1106]
 39.1 :    2 : [1061, 1081]
 39.2 :    5 : [1094, 1114, 1115, 1117, 1118]
 39.3 :    4 : [1036, 1050, 1074, 1120]
 39.4 :    5 : [1026, 1027, 1090, 1107, 1116]
 39.5 :    2 : [1025, 1047]
 39.6 :    1 : [1071]
 39.7 :    5 : [1042, 1060, 1063, 1075, 1076]
 39.9 :    4 : [1034, 1066, 1088, 1095]
 40.0 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 40.1 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 40.2 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 40.3 :    4 : [1078, 1079, 1109, 1110]
 40.4 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 40.5 :    1 : [1080]
 40.6 :    2 : [1035, 1048]
 40.7 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 40.9 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 41.0 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 41.1 :    4 : [1028, 1058, 1059, 1106]
 41.2 :    2 : [1061, 1081]
 41.3 :    5 : [1094, 1114, 1115, 1117, 1118]
 41.4 :    4 : [1036, 1050, 1074, 1120]
 41.5 :    5 : [1026, 1027, 1090, 1107, 1116]
 41.6 :    2 : [1025, 1047]
 41.7 :    1 : [1071]
 41.8 :    5 : [1042, 1060, 1063, 1075, 1076]
 42.0 :    4 : [1034, 1066, 1088, 1095]
 42.1 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 42.2 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 42.3 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 42.4 :    4 : [1078, 1079, 1109, 1110]
 42.5 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 42.6 :    1 : [1080]
 42.7 :    2 : [1035, 1048]
 42.8 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 43.0 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 43.1 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 43.2 :    4 : [1028, 1058, 1059, 1106]
 43.3 :    2 : [1061, 1081]
 43.4 :    5 : [1094, 1114, 1115, 1117, 1118]
 43.5 :    4 : [1036, 1050, 1074, 1120]
 43.6 :    5 : [1026, 1027, 1090, 1107, 1116]
 43.7 :    2 : [1025, 1047]
 43.8 :    1 : [1071]
 43.9 :    5 : [1042, 1060, 1063, 1075, 1076]
 44.1 :    4 : [1034, 1066, 1088, 1095]
 44.2 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 44.3 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 44.4 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 44.5 :    4 : [1078, 1079, 1109, 1110]
 44.6 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 44.7 :    1 : [1080]
 44.8 :    2 : [1035, 1048]
 44.9 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 45.1 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 45.2 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 45.3 :    4 : [1028, 1058, 1059, 1106]
 45.4 :    2 : [1061, 1081]
 45.5 :    5 : [1094, 1114, 1115, 1117, 1118]
 45.6 :    4 : [1036, 1050, 1074, 1120]
 45.7 :    5 : [1026, 1027, 1090, 1107, 1116]
 45.8 :    2 : [1025, 1047]
 45.9 :    1 : [1071]
 46.0 :    5 : [1042, 1060, 1063, 1075, 1076]
 46.2 :    4 : [1034, 1066, 1088, 1095]
 46.3 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 46.4 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 46.5 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 46.6 :    4 : [1078, 1079, 1109, 1110]
 46.7 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 46.8 :    1 : [1080]
 46.9 :    2 : [1035, 1048]
 47.0 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 47.2 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 47.3 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 47.4 :    4 : [1028, 1058, 1059, 1106]
 47.5 :    2 : [1061, 1081]
 47.6 :    5 : [1094, 1114, 1115, 1117, 1118]
 47.7 :    4 : [1036, 1050, 1074, 1120]
 47.8 :    5 : [1026, 1027, 1090, 1107, 1116]
 47.9 :    2 : [1025, 1047]
 48.0 :    1 : [1071]
 48.1 :    5 : [1042, 1060, 1063, 1075, 1076]
 48.3 :    4 : [1034, 1066, 1088, 1095]
 48.4 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 48.5 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 48.6 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 48.7 :    4 : [1078, 1079, 1109, 1110]
 48.8 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 48.9 :    1 : [1080]
 49.0 :    2 : [1035, 1048]
 49.1 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 49.3 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 49.4 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 49.5 :    4 : [1028, 1058, 1059, 1106]
 49.6 :    2 : [1061, 1081]
 49.7 :    5 : [1094, 1114, 1115, 1117, 1118]
 49.8 :    4 : [1036, 1050, 1074, 1120]
 49.9 :    5 : [1026, 1027, 1090, 1107, 1116]
 50.0 :    2 : [1025, 1047]
 50.1 :    1 : [1071]
 50.2 :    5 : [1042, 1060, 1063, 1075, 1076]
 50.4 :    4 : [1034, 1066, 1088, 1095]
 50.5 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 50.6 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
