Name: Striatum [D1], Title: Raster plot from device '5456', Hist: False
234.2 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
234.3 :    1 : [929]
234.4 :    7 : [911, 952, 954, 968, 971, 973, 975]
234.5 :    4 : [906, 921, 923, 933]
234.6 :    2 : [934, 964]
234.7 :    3 : [905, 926, 937]
234.8 :    1 : [965]
234.9 :    1 : [908]
235.0 :    1 : [916]
235.1 :    3 : [889, 919, 924]
235.2 :    1 : [930]
235.3 :    4 : [890, 904, 931, 958]
235.4 :    4 : [883, 900, 915, 927]
235.5 :    4 : [901, 939, 947, 982]
235.6 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
235.7 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
235.8 :    1 : [892]
235.9 :    6 : [887, 899, 935, 945, 972, 977]
236.0 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
236.1 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
236.2 :    6 : [910, 920, 925, 948, 969, 980]
236.3 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
236.4 :    1 : [929]
236.5 :    7 : [911, 952, 954, 968, 971, 973, 975]
236.6 :    4 : [906, 921, 923, 933]
236.7 :    2 : [934, 964]
236.8 :    3 : [905, 926, 937]
236.9 :    1 : [965]
237.0 :    1 : [908]
237.1 :    1 : [916]
237.2 :    3 : [889, 919, 924]
237.3 :    1 : [930]
237.4 :    4 : [890, 904, 931, 958]
237.5 :    4 : [883, 900, 915, 927]
237.6 :    4 : [901, 939, 947, 982]
237.7 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
237.8 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
237.9 :    1 : [892]
238.0 :    6 : [887, 899, 935, 945, 972, 977]
238.1 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
238.2 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
238.3 :    6 : [910, 920, 925, 948, 969, 980]
238.4 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
238.5 :    1 : [929]
238.6 :    7 : [911, 952, 954, 968, 971, 973, 975]
238.7 :    4 : [906, 921, 923, 933]
238.8 :    2 : [934, 964]
238.9 :    3 : [905, 926, 937]
239.0 :    1 : [965]
239.1 :    1 : [908]
239.2 :    1 : [916]
239.3 :    3 : [889, 919, 924]
239.4 :    1 : [930]
239.5 :    4 : [890, 904, 931, 958]
239.6 :    4 : [883, 900, 915, 927]
239.7 :    4 : [901, 939, 947, 982]
239.8 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
239.9 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
240.0 :    1 : [892]
240.1 :    6 : [887, 899, 935, 945, 972, 977]
240.2 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
240.3 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
240.4 :    6 : [910, 920, 925, 948, 969, 980]
240.5 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
240.6 :    1 : [929]
240.7 :    7 : [911, 952, 954, 968, 971, 973, 975]
240.8 :    4 : [906, 921, 923, 933]
240.9 :    2 : [934, 964]
241.0 :    3 : [905, 926, 937]
241.1 :    1 : [965]
241.2 :    1 : [908]
241.3 :    1 : [916]
241.4 :    3 : [889, 919, 924]
241.5 :    1 : [930]
241.6 :    4 : [890, 904, 931, 958]
241.7 :    4 : [883, 900, 915, 927]
241.8 :    4 : [901, 939, 947, 982]
241.9 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
242.0 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
242.1 :    1 : [892]
242.2 :    6 : [887, 899, 935, 945, 972, 977]
242.3 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
242.4 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
242.5 :    6 : [910, 920, 925, 948, 969, 980]
242.6 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
242.7 :    1 : [929]
242.8 :    7 : [911, 952, 954, 968, 971, 973, 975]
242.9 :    4 : [906, 921, 923, 933]
243.0 :    2 : [934, 964]
243.1 :    3 : [905, 926, 937]
243.2 :    1 : [965]
243.3 :    1 : [908]
243.4 :    1 : [916]
243.5 :    3 : [889, 919, 924]
243.6 :    1 : [930]
243.7 :    4 : [890, 904, 931, 958]
243.8 :    4 : [883, 900, 915, 927]
243.9 :    4 : [901, 939, 947, 982]
244.0 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
244.1 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
244.2 :    1 : [892]
244.3 :    6 : [887, 899, 935, 945, 972, 977]
244.4 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
244.5 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
244.6 :    6 : [910, 920, 925, 948, 969, 980]
244.7 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
244.8 :    1 : [929]
244.9 :    7 : [911, 952, 954, 968, 971, 973, 975]
245.0 :    4 : [906, 921, 923, 933]
245.1 :    2 : [934, 964]
245.2 :    3 : [905, 926, 937]
245.3 :    1 : [965]
245.4 :    1 : [908]
245.5 :    1 : [916]
245.6 :    3 : [889, 919, 924]
245.7 :    1 : [930]
245.8 :    4 : [890, 904, 931, 958]
245.9 :    4 : [883, 900, 915, 927]
246.0 :    4 : [901, 939, 947, 982]
246.1 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
246.2 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
246.3 :    1 : [892]
246.4 :    6 : [887, 899, 935, 945, 972, 977]
246.5 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
246.6 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
246.7 :    6 : [910, 920, 925, 948, 969, 980]
246.8 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
246.9 :    1 : [929]
247.0 :    7 : [911, 952, 954, 968, 971, 973, 975]
247.1 :    4 : [906, 921, 923, 933]
247.2 :    2 : [934, 964]
247.3 :    3 : [905, 926, 937]
247.4 :    1 : [965]
247.5 :    1 : [908]
247.6 :    1 : [916]
247.7 :    3 : [889, 919, 924]
247.8 :    1 : [930]
